Customer_ID,Booking_Frequency,Avg_Spending,Preferred_Service,Review_Text,Last_Activity,Days_Since_Last_Booking,Total_Spend
1394,4,88.96,Facial,I've tried many services but this was by far the best.,2024-02-22,22,409.54
1629,1,102.55,Facial,Not bad. The therapist was competent but not exceptional.,2024-03-08,7,106.2
1609,1,98.71,Wellness Package,Not bad. The therapist was competent but not exceptional.,2024-03-07,8,116.11
1706,1,160.36,Facial,Incredible value for the quality of service provided.,2024-03-04,11,146.18
1755,2,48.96,Facial,The booking process was seamless and the service was top-notch.,2023-06-15,274,117.33
1055,8,152.26,Massage,Exceeded my expectations. The therapist really listened to my needs.,2024-02-16,28,1133.62
1751,2,52.68,Massage,I was not impressed. Expected much more for the price.,2023-01-10,430,102.53
1156,15,299.19,Wellness Package,My therapist was incredibly professional and skilled.,2024-03-14,1,4982.46
1433,12,168.74,Facial,The service was fine. Met my basic expectations.,2023-07-23,236,1727.12
1098,12,360.2,Couples Massage,Such a convenient and luxurious experience. Love it!,2024-03-05,10,4926.93
1121,16,237.75,Couples Massage,Too expensive for what you get. Disappointing.,2024-02-17,27,3585.04
1077,19,388.97,Couples Massage,Perfect way to unwind after a long week. Thank you Blys!,2024-02-29,15,6158.55
1205,2,101.73,Massage,Reasonable service for the price. Would consider rebooking.,2024-01-05,70,216.65
1353,3,98.65,Manicure,The booking process was seamless and the service was top-notch.,2024-02-06,38,292.64
1765,2,57.95,Facial,I was not impressed. Expected much more for the price.,2023-05-19,301,99.46
1209,3,74.45,Manicure,The therapist was late and seemed unprepared.,2024-01-22,53,193.04
1368,3,89.99,Facial,Incredible value for the quality of service provided.,2023-12-29,77,275.64
1426,14,212.42,Wellness Package,Not bad. The therapist was competent but not exceptional.,2023-03-30,351,3278.66
1516,10,271.97,Wellness Package,My skin reacted badly to the products used. No follow-up from support.,2023-04-16,334,3107.57
1085,9,272.01,Wellness Package,Absolutely loved it! The therapist was amazing.,2024-03-14,1,2625.37
1011,15,301.08,Couples Massage,Absolutely loved it! The therapist was amazing.,2024-02-23,21,4315.1
1721,2,57.11,Facial,Fair service. The app worked well for booking.,2023-02-24,385,124.67
1111,13,170.57,Massage,I've tried many services but this was by far the best.,2024-02-18,26,2567.07
1522,9,158.71,Massage,"It was okay, nothing special but decent service.",2023-05-25,295,1499.74
1778,2,84.49,Facial,I was not impressed. Expected much more for the price.,2022-12-03,468,191.46
1210,3,112.55,Facial,Incredible value for the quality of service provided.,2024-02-18,26,270.98
1236,3,96.54,Manicure,Decent quality. Probably would try again.,2024-01-16,59,252.79
1317,2,61.84,Facial,Absolutely loved it! The therapist was amazing.,2024-02-22,22,101.01
1389,3,68.6,Facial,My facial left my skin glowing. Absolutely fantastic!,2024-02-16,28,240.22
1119,11,288.64,Wellness Package,Incredible value for the quality of service provided.,2024-02-26,18,2650.42
1720,2,97.79,Couples Massage,Best massage I've ever had. Will definitely rebook.,2024-03-02,13,177.74
1211,3,57.98,Manicure,The service was rushed and I felt like just another number.,2024-01-01,74,139.78
1255,4,70.37,Manicure,Not worth the price. I've had better at half the cost.,2024-02-01,43,275.15
1592,1,185.45,Wellness Package,This has become my monthly self-care ritual. Can't live without it!,2024-03-05,10,148.78
1030,13,261.3,Couples Massage,The booking process was seamless and the service was top-notch.,2024-02-28,16,3802.28
1267,2,30.98,Manicure,Standard massage experience. Nothing to complain about.,2023-12-22,84,68.08
1657,1,138.98,Facial,Poor communication and the quality was below average.,2024-02-26,18,142.35
1663,1,145.56,Facial,Good experience overall. Average pricing.,2024-02-27,17,120.9
1297,3,37.85,Massage,The service was rushed and I felt like just another number.,2024-02-28,16,101.0
1082,15,256.66,Massage,The couples massage was the perfect anniversary gift.,2024-03-14,1,4435.64
1689,2,87.5,Couples Massage,Such a convenient and luxurious experience. Love it!,2024-02-25,19,167.5
1303,3,92.31,Facial,Standard massage experience. Nothing to complain about.,2024-02-28,16,275.22
1507,8,352.57,Wellness Package,The therapist was late and seemed unprepared.,2023-04-22,328,2725.73
1759,2,43.87,Facial,Would not recommend. The whole experience felt unprofessional.,2023-09-07,190,99.19
1315,2,68.24,Facial,"It was okay, nothing special but decent service.",2024-02-09,35,154.23
1645,2,110.46,Facial,Best massage I've ever had. Will definitely rebook.,2024-03-01,14,246.94
1410,5,298.83,Facial,Would not recommend. The whole experience felt unprofessional.,2023-09-05,192,1765.51
1212,3,72.15,Massage,Booking process was confusing and the service was mediocre.,2023-12-21,85,220.02
1533,6,193.67,Wellness Package,Standard massage experience. Nothing to complain about.,2023-10-30,137,1200.86
1484,14,161.57,Wellness Package,This has become my monthly self-care ritual. Can't live without it!,2023-05-08,312,1849.3
1219,3,31.49,Manicure,My therapist was incredibly professional and skilled.,2024-01-03,72,109.36
1008,19,269.42,Massage,Absolutely loved it! The therapist was amazing.,2024-02-29,15,4450.16
1465,13,286.78,Wellness Package,I was not impressed. Expected much more for the price.,2023-09-08,189,3993.31
1102,16,288.95,Massage,Exceeded my expectations. The therapist really listened to my needs.,2024-02-29,15,4476.25
1327,4,91.98,Facial,Too expensive for what you get. Disappointing.,2024-01-29,46,340.98
1653,1,149.75,Manicure,My therapist was incredibly professional and skilled.,2024-02-27,17,169.07
1538,10,138.42,Facial,Not worth the price. I've had better at half the cost.,2023-10-24,143,1288.44
1641,1,182.23,Couples Massage,Exceeded my expectations. The therapist really listened to my needs.,2024-03-12,3,176.3
1003,13,167.6,Massage,Exceeded my expectations. The therapist really listened to my needs.,2024-03-13,2,1901.5
1739,1,83.97,Massage,"Amazing service, felt so relaxed afterwards. 10/10!",2023-07-29,230,97.79
1777,1,81.83,Facial,The service was rushed and I felt like just another number.,2022-12-17,454,76.4
1520,10,191.1,Wellness Package,Standard massage experience. Nothing to complain about.,2023-04-21,329,2140.32
1590,2,95.08,Couples Massage,The service was fine. Met my basic expectations.,2024-03-08,7,227.9
1799,2,31.99,Massage,Fair service. The app worked well for booking.,2023-07-07,252,70.63
1745,1,43.71,Facial,Not worth the price. I've had better at half the cost.,2023-06-04,285,45.7
1514,12,170.98,Massage,The therapist was nice enough. Service was adequate.,2023-03-21,360,2227.66
1671,2,171.08,Facial,The experience did not match the website description at all.,2024-02-27,17,396.8
1265,4,80.83,Facial,Poor communication and the quality was below average.,2024-02-21,23,307.77
1616,1,76.13,Massage,Okay experience. Not the best I've had but not the worst.,2024-03-04,11,78.06
1330,2,133.22,Facial,Perfect way to unwind after a long week. Thank you Blys!,2024-02-01,43,290.73
1343,4,101.62,Facial,"It was okay, nothing special but decent service.",2024-01-30,45,459.34
1395,3,123.48,Manicure,I've tried many services but this was by far the best.,2024-01-31,44,359.95
1080,17,384.37,Couples Massage,My go-to for wellness. Never been disappointed once.,2024-02-27,17,5491.74
1149,12,218.62,Couples Massage,Standard massage experience. Nothing to complain about.,2024-02-19,25,3004.91
1351,2,82.81,Massage,Not worth the price. I've had better at half the cost.,2024-02-26,18,135.8
1383,3,108.1,Manicure,Reasonable service for the price. Would consider rebooking.,2024-01-26,49,263.48
1441,5,334.31,Massage,Wonderful experience from start to finish. Highly recommend!,2023-06-11,278,1956.64
1310,2,71.36,Manicure,Not worth the price. I've had better at half the cost.,2024-01-08,67,159.93
1708,1,64.25,Manicure,The experience did not match the website description at all.,2024-03-07,8,53.8
1134,16,362.99,Couples Massage,Absolutely loved it! The therapist was amazing.,2024-02-19,25,6232.93
1382,4,56.5,Facial,It was a satisfactory experience. Nothing memorable.,2023-12-17,89,239.66
1214,3,105.75,Facial,Absolutely loved it! The therapist was amazing.,2023-12-28,78,343.67
1660,1,113.68,Wellness Package,The therapist was nice enough. Service was adequate.,2024-03-03,12,130.65
1056,19,220.29,Couples Massage,I've tried many services but this was by far the best.,2024-03-10,5,4113.96
1737,2,61.28,Facial,The booking was easy but the service felt a bit rushed.,2023-01-31,409,130.06
1621,1,113.67,Facial,"Amazing service, felt so relaxed afterwards. 10/10!",2024-03-06,9,113.33
1583,2,160.88,Manicure,"Amazing service, felt so relaxed afterwards. 10/10!",2024-02-26,18,380.77
1674,1,80.48,Facial,I've tried many services but this was by far the best.,2024-03-02,13,87.24
1528,14,322.97,Massage,Poor communication and the quality was below average.,2023-05-13,307,4431.36
1197,2,99.81,Manicure,Incredible value for the quality of service provided.,2023-12-18,88,163.44
1714,2,182.21,Facial,Fair service. The app worked well for booking.,2024-02-28,16,295.6
1690,2,152.78,Manicure,Absolutely loved it! The therapist was amazing.,2024-03-03,12,282.79
1061,12,341.59,Wellness Package,Wonderful experience from start to finish. Highly recommend!,2024-03-10,5,4282.26
1577,2,93.28,Massage,My therapist was incredibly professional and skilled.,2024-02-27,17,150.34
1632,1,56.04,Massage,I was not impressed. Expected much more for the price.,2024-03-01,14,58.5
1432,10,245.59,Facial,I was not impressed. Expected much more for the price.,2023-04-11,339,2418.03
1604,1,140.27,Wellness Package,Such a convenient and luxurious experience. Love it!,2024-03-04,11,137.67
1443,9,193.1,Massage,Overpriced and underwhelming. Won't be coming back.,2023-06-16,273,1757.77
1437,8,292.02,Wellness Package,Standard massage experience. Nothing to complain about.,2023-09-06,191,2357.13
1248,2,58.83,Facial,Okay experience. Not the best I've had but not the worst.,2024-02-02,42,95.85
1587,1,86.43,Massage,Therapist arrived on time and was extremely professional.,2024-03-03,12,74.35
1570,1,158.47,Wellness Package,Therapist arrived on time and was extremely professional.,2024-03-02,13,157.48
1091,19,291.43,Massage,Would not recommend. The whole experience felt unprofessional.,2024-02-16,28,4601.91
1651,1,52.44,Wellness Package,Incredible value for the quality of service provided.,2024-03-13,2,59.91
1182,4,108.86,Massage,Good experience overall. Average pricing.,2024-02-04,40,355.22
1791,1,44.79,Massage,Would not recommend. The whole experience felt unprofessional.,2023-02-04,405,47.06
1555,14,352.43,Wellness Package,It was a satisfactory experience. Nothing memorable.,2023-11-12,124,4635.79
1291,3,74.37,Massage,This has become my monthly self-care ritual. Can't live without it!,2024-02-14,30,223.72
1159,19,346.34,Couples Massage,Wonderful experience from start to finish. Highly recommend!,2024-02-19,25,5848.64
1070,8,294.92,Couples Massage,My therapist was incredibly professional and skilled.,2024-02-15,29,2684.83
1518,6,94.22,Massage,I've tried many services but this was by far the best.,2023-11-04,132,641.98
1132,13,163.36,Couples Massage,My therapist was incredibly professional and skilled.,2024-02-15,29,1817.68
1045,8,160.73,Wellness Package,Exceeded my expectations. The therapist really listened to my needs.,2024-03-01,14,1499.22
1071,9,244.44,Couples Massage,The therapist was nice enough. Service was adequate.,2024-02-26,18,2313.43
1692,1,91.46,Manicure,Incredible value for the quality of service provided.,2024-03-08,7,78.0
1356,4,77.91,Massage,My therapist was incredibly professional and skilled.,2024-01-04,71,292.43
1445,11,148.3,Massage,Not worth the price. I've had better at half the cost.,2023-11-10,126,1308.74
1762,2,79.43,Massage,Absolutely loved it! The therapist was amazing.,2023-05-22,298,157.48
1136,8,369.62,Massage,Incredible value for the quality of service provided.,2024-02-21,23,2994.64
1083,14,386.54,Massage,My go-to for wellness. Never been disappointed once.,2024-02-25,19,6011.48
1166,3,123.36,Facial,Poor communication and the quality was below average.,2023-12-18,88,379.82
1165,2,64.75,Manicure,My skin reacted badly to the products used. No follow-up from support.,2024-01-08,67,118.85
1029,14,306.4,Couples Massage,The couples massage was the perfect anniversary gift.,2024-03-09,6,4062.74
1449,12,138.87,Facial,Overpriced and underwhelming. Won't be coming back.,2023-06-12,277,1429.94
1194,2,81.87,Massage,My skin reacted badly to the products used. No follow-up from support.,2023-12-24,82,145.29
1240,3,106.57,Massage,Therapist arrived on time and was extremely professional.,2024-01-25,50,259.53
1725,1,42.08,Facial,Overpriced and underwhelming. Won't be coming back.,2023-03-12,369,42.76
1731,1,72.47,Facial,The therapist was late and seemed unprepared.,2023-02-18,391,78.29
1137,15,283.88,Wellness Package,Five stars all around. The experience was flawless.,2024-02-24,20,4759.01
1665,1,47.37,Facial,Absolutely loved it! The therapist was amazing.,2024-03-09,6,48.61
1312,3,91.41,Massage,Decent quality. Probably would try again.,2024-01-09,66,246.09
1141,11,265.08,Wellness Package,I've tried many services but this was by far the best.,2024-03-07,8,2507.56
1474,9,207.49,Massage,Fair service. The app worked well for booking.,2023-10-23,144,1880.83
1007,9,378.21,Couples Massage,Incredible value for the quality of service provided.,2024-02-24,20,3051.28
1729,2,42.59,Facial,Not bad. The therapist was competent but not exceptional.,2023-07-22,237,84.38
1756,2,30.89,Massage,The experience did not match the website description at all.,2023-02-01,408,68.85
1074,15,374.7,Wellness Package,Perfect way to unwind after a long week. Thank you Blys!,2024-03-10,5,5032.81
1560,7,147.98,Massage,The service was fine. Met my basic expectations.,2023-08-01,227,1091.65
1300,4,73.4,Manicure,I've tried many services but this was by far the best.,2024-02-05,39,313.13
1146,11,348.22,Massage,Best massage I've ever had. Will definitely rebook.,2024-03-10,5,4147.94
1293,2,75.14,Manicure,Okay experience. Not the best I've had but not the worst.,2023-12-25,81,144.09
1235,3,90.46,Massage,The therapist was late and seemed unprepared.,2024-02-18,26,234.42
1221,4,121.82,Facial,Not bad. The therapist was competent but not exceptional.,2024-01-08,67,419.77
1451,10,170.83,Facial,Therapist arrived on time and was extremely professional.,2023-04-28,322,1516.47
1381,2,61.56,Facial,This has become my monthly self-care ritual. Can't live without it!,2024-01-26,49,105.49
1133,19,196.83,Massage,Fair service. The app worked well for booking.,2024-02-17,27,3939.86
1376,3,94.51,Manicure,Not worth the price. I've had better at half the cost.,2024-02-26,18,339.9
1405,8,164.53,Wellness Package,Booking process was confusing and the service was mediocre.,2023-06-10,279,1491.73
1523,11,329.45,Facial,Exceeded my expectations. The therapist really listened to my needs.,2023-08-13,215,3465.48
1750,2,67.88,Massage,My skin reacted badly to the products used. No follow-up from support.,2022-11-23,478,139.34
1427,14,337.47,Wellness Package,The service was fine. Met my basic expectations.,2023-06-04,285,5659.78
1042,13,230.41,Couples Massage,The service was rushed and I felt like just another number.,2024-03-01,14,3103.01
1496,6,339.37,Massage,Incredible value for the quality of service provided.,2023-07-16,243,2376.87
1109,15,183.73,Massage,The experience did not match the website description at all.,2024-03-12,3,2772.75
1345,4,88.14,Facial,Exceeded my expectations. The therapist really listened to my needs.,2023-12-17,89,385.51
1057,11,241.36,Couples Massage,Incredible value for the quality of service provided.,2024-02-28,16,3160.31
1260,2,115.1,Facial,Absolutely loved it! The therapist was amazing.,2024-01-13,62,253.44
1480,8,194.37,Wellness Package,It was a satisfactory experience. Nothing memorable.,2023-10-29,138,1833.23
1626,1,100.67,Wellness Package,The service was rushed and I felt like just another number.,2024-03-02,13,96.91
1228,2,97.0,Massage,Reasonable service for the price. Would consider rebooking.,2024-01-07,68,203.17
1213,4,85.81,Massage,The service was fine. Met my basic expectations.,2024-02-08,36,403.27
1594,1,57.98,Massage,This has become my monthly self-care ritual. Can't live without it!,2024-02-28,16,53.62
1333,4,103.15,Facial,Absolutely loved it! The therapist was amazing.,2024-02-22,22,406.26
1025,10,207.36,Couples Massage,This has become my monthly self-care ritual. Can't live without it!,2024-02-20,24,2241.99
1781,2,48.29,Massage,Overpriced and underwhelming. Won't be coming back.,2022-12-10,461,112.3
1352,4,85.56,Facial,My therapist was incredibly professional and skilled.,2024-01-04,71,274.75
1357,4,78.02,Massage,Such a convenient and luxurious experience. Love it!,2024-02-15,29,359.78
1052,11,353.43,Massage,Five stars all around. The experience was flawless.,2024-03-14,1,3220.5
1332,4,111.87,Manicure,Absolutely loved it! The therapist was amazing.,2024-01-05,70,467.52
1734,1,69.29,Massage,I've tried many services but this was by far the best.,2023-03-02,379,82.14
1630,1,139.45,Manicure,The couples massage was the perfect anniversary gift.,2024-02-26,18,114.55
1502,13,209.26,Massage,The booking was easy but the service felt a bit rushed.,2023-03-21,360,3133.33
1335,3,112.53,Massage,This has become my monthly self-care ritual. Can't live without it!,2024-01-15,60,353.25
1286,3,66.72,Massage,The service was fine. Met my basic expectations.,2024-01-17,58,213.12
1019,14,295.76,Massage,The booking process was seamless and the service was top-notch.,2024-03-10,5,3725.4
1585,1,86.68,Manicure,Perfect way to unwind after a long week. Thank you Blys!,2024-03-01,14,76.93
1749,1,70.35,Massage,Not worth the price. I've had better at half the cost.,2023-09-10,187,66.0
1084,18,232.58,Massage,My facial left my skin glowing. Absolutely fantastic!,2024-02-25,19,3535.36
1062,19,294.91,Massage,My therapist was incredibly professional and skilled.,2024-02-25,19,6181.2
1463,13,233.79,Wellness Package,This has become my monthly self-care ritual. Can't live without it!,2023-05-04,316,2881.0
1292,2,57.57,Manicure,My go-to for wellness. Never been disappointed once.,2024-02-07,37,104.23
1448,6,110.23,Massage,Incredible value for the quality of service provided.,2023-09-25,172,667.35
1183,4,101.19,Manicure,The therapist was nice enough. Service was adequate.,2024-02-23,21,329.3
1550,5,267.03,Wellness Package,The experience did not match the website description at all.,2023-04-19,331,1286.43
1501,6,148.29,Facial,My therapist was incredibly professional and skilled.,2023-07-23,236,923.12
1224,2,85.64,Massage,Not bad. The therapist was competent but not exceptional.,2024-01-01,74,141.42
1425,5,127.49,Massage,The booking process was seamless and the service was top-notch.,2023-07-16,243,519.9
1468,7,261.96,Facial,Standard massage experience. Nothing to complain about.,2023-10-29,138,1548.77
1320,4,30.0,Facial,Reasonable service for the price. Would consider rebooking.,2024-01-03,72,100.72
1329,3,110.94,Manicure,Fair service. The app worked well for booking.,2023-12-17,89,308.86
1444,7,362.43,Facial,Best massage I've ever had. Will definitely rebook.,2023-03-28,353,3038.98
1494,8,150.09,Facial,My skin reacted badly to the products used. No follow-up from support.,2023-09-14,183,1401.69
1177,4,102.05,Manicure,Fair service. The app worked well for booking.,2023-12-19,87,338.83
1677,1,123.04,Massage,The couples massage was the perfect anniversary gift.,2024-03-02,13,130.82
1364,3,74.08,Manicure,Not bad. The therapist was competent but not exceptional.,2024-02-14,30,214.4
1164,4,94.63,Facial,"Amazing service, felt so relaxed afterwards. 10/10!",2024-02-28,16,357.79
1249,2,97.95,Facial,My skin reacted badly to the products used. No follow-up from support.,2024-01-05,70,202.59
1519,14,262.47,Facial,The service was fine. Met my basic expectations.,2023-07-02,257,3015.61
1711,2,152.36,Wellness Package,Incredible value for the quality of service provided.,2024-03-06,9,323.28
1075,14,358.22,Wellness Package,Absolutely loved it! The therapist was amazing.,2024-02-22,22,4609.13
1644,2,88.3,Manicure,The therapist was late and seemed unprepared.,2024-02-27,17,161.17
1406,5,198.04,Wellness Package,It was a satisfactory experience. Nothing memorable.,2023-04-16,334,1018.74
1105,15,380.92,Couples Massage,Exceeded my expectations. The therapist really listened to my needs.,2024-02-27,17,6741.19
1115,14,279.02,Massage,Five stars all around. The experience was flawless.,2024-02-17,27,3519.46
1301,2,59.42,Manicure,Poor communication and the quality was below average.,2024-02-17,27,139.59
1093,19,215.9,Couples Massage,Five stars all around. The experience was flawless.,2024-03-10,5,4288.2
1412,8,195.66,Facial,The therapist was nice enough. Service was adequate.,2023-07-23,236,1625.59
1090,15,251.38,Massage,Five stars all around. The experience was flawless.,2024-02-20,24,3951.89
1529,6,339.8,Massage,Fair service. The app worked well for booking.,2023-09-26,171,2205.62
1735,2,71.71,Massage,Not worth the price. I've had better at half the cost.,2023-02-19,390,162.49
1744,2,92.45,Facial,Poor communication and the quality was below average.,2023-02-22,387,156.36
